job title,company_name,link
 R&D Front-end QA Specialist , Hitachi Energy ,https://nofluffjobs.com/pl/job/r-d-front-end-qa-specialist-hitachi-energy-krakow-4jvkdy4d
 Staff Software Delivery Engineer , Nomagic ,https://nofluffjobs.com/pl/job/staff-software-delivery-engineer-nomagic-warszawa-fgimiv5v
 Senior Data Scientist (A&PC) , hubQuest ,https://nofluffjobs.com/pl/job/senior-data-scientist-a-pc-hubquest-remote-41thr7bq
 Data Engineer , Ringier Axel Springer Tech ,https://nofluffjobs.com/pl/job/data-engineer-ringier-axel-springer-tech-warszawa-mb3lguat
 Senior Manual Test Engineer (IoT) , Kontakt.io ,https://nofluffjobs.com/pl/job/senior-manual-test-engineer-iot-kontakt-io-krakow-e2kx2mi2
 Release Infrastructure Engineer , Snowflake ,https://nofluffjobs.com/pl/job/release-infrastructure-engineer-snowflake-warsaw-09l2ixud
 Senior Test Automation Engineer , Hearsay ,https://nofluffjobs.com/pl/job/senior-test-automation-engineer-hearsay-budapest-omezch8w
 Remote MLOps Engineer , Link Group ,https://nofluffjobs.com/pl/job/remote-mlops-engineer-link-group-bt10xvfp
 Remote DevOps Engineer (AWS or GCP) , Mindbox S.A. ,https://nofluffjobs.com/pl/job/remote-devops-engineer-aws-or-gcp-mindbox-cdldtvcw
 Senior Quality Assurance Engineer , Hitachi Energy ,https://nofluffjobs.com/pl/job/senior-quality-assurance-engineer-hitachi-energy-krakow-uxyvonjq
 Cloud DevOps , Hitachi Energy ,https://nofluffjobs.com/pl/job/cloud-devops-hitachi-energy-krakow-nata6uyu
 Senior NLP Data Scientist , Applica Sp. z o.o. ,https://nofluffjobs.com/pl/job/senior-nlp-data-scientist-applica-remote-24pnvhyb
 Junior DevOps Engineer , Enxoo ,https://nofluffjobs.com/pl/job/junior-devops-engineer-enxoo-remote-lh9dlxno
 Test Engineer (Automotive) , Avenga ,https://nofluffjobs.com/pl/job/test-engineer-automotive-avenga-lodz-rdunnlyz
 Cloud Engineer , Unit8 SA ,https://nofluffjobs.com/pl/job/cloud-engineer-unit8-krakow-cqtame81
 DevOps Cloud Engineer (AWS) , ValueLogic Sp. z o.o. ,https://nofluffjobs.com/pl/job/devops-cloud-engineer-aws-valuelogic-remote-zkrhzsoa
 Remote Python Machine Learning Engineer , DTiQ ,https://nofluffjobs.com/pl/job/remote-python-machine-learning-engineer-dtiq-om9uibvx
 Quality Automation Engineer , Grid Dynamics ,https://nofluffjobs.com/pl/job/quality-automation-engineer-grid-dynamics-remote-cn1ld8ub
 Test Automation Engineer , AVENGA ,https://nofluffjobs.com/pl/job/test-automation-engineer-avenga-remote-boczfrwa
 Senior Data Engineer , Avenga ,https://nofluffjobs.com/pl/job/senior-data-engineer-avenga-remote-msiltnfx
 Senior Full-Stack Developer , Avenga ,https://nofluffjobs.com/pl/job/senior-full-stack-developer-avenga-poznan-wuqx7tde
 Big Data Engineer , Ringier Axel Springer Tech ,https://nofluffjobs.com/pl/job/big-data-engineer-ringier-axel-springer-tech-krakow-vxdbwisb
 Remote Azure Data Engineer , Infosys Consulting ,https://nofluffjobs.com/pl/job/remote-azure-data-engineer-infosys-consulting-r7yqrn01
 Senior Data Engineer , Sii Polska ,https://nofluffjobs.com/pl/job/senior-data-engineer-sii-polska-warszawa-yeqpofxg
